Tumor	abbe
Lymphoepithelioma-like Carcinoma of the Lung 	LECLC
Adenoid Cystic Carcinoma of the Lung 	LUACC
Mucoepidermoid Carcinoma of the Lung 	LUMEC
B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities 	BLLRGA
B-Lymphoblastic Leukemia/Lymphoma, NOS 	BLLNOS
Classical Hodgkin Lymphoma 	CHL
Nodular Lymphocyte-Predominant Hodgkin Lymphoma 	NLPHL
Mature B-Cell Neoplasms 	MBN
Mature T and NK Neoplasms 	MTNN
Classical Hodgkin Lymphoma PTLD 	CHLPTLD
Florid Follicular Hyperplasia PTLD 	FHPTLD
Infectious Mononucleosis PTLD 	IMPTLD
Monomorphic PTLD 	B- and T-/NK-cell types 
Plasmacytic Hyperplasia PTLD 	PHPTLD
Polymorphic PTLD 	PPTLD
Early T-Cell Precursor Lymphoblastic Leukemia 	ETPLL
Natural Killer 	NK Cell Lymphoblastic Leukemia/Lymphoma 
Acute Undifferentiated Leukemia 	AUL
Mixed Phenotype Acute Leukemia with t	9;22
Mixed Phenotype Acute Leukemia with t	v;11q23.3; KMT2A Rearranged 
Mixed Phenotype Acute Leukemia, B/Myeloid, NOS 	MPALBNOS
Mixed Phenotype Acute Leukemia, T/Myeloid, NOS 	MPALTNOS
AML with Myelodysplasia-Related Changes 	AMLMRC
AML with Recurrent Genetic Abnormalities 	AMLRGA
AML, NOS 	AMLNOS
Myeloid Proliferations Related to Down Syndrome 	MPRDS
Myeloid Sarcoma 	MS
Therapy-Related Myeloid Neoplasms 	TMN
Disseminated Juvenile Xanthogranuloma 	JXG
Erdheim-Chester Disease 	ECD
Fibroblastic Reticular Cell Tumor 	FRCT
Follicular Dendritic Cell Sarcoma 	FDCS
Histiocytic Sarcoma 	HS
Indeterminate Dendritic Cell Tumor 	IDCT
Interdigitating Dendritic Cell Sarcoma 	IDCS
Langerhans Cell Histiocytosis 	LCH
Langerhans Cell Sarcoma 	LCS
Rosai-Dorfman Disease 	RDD
Cutaneous Mastocytosis 	CMCD
Mast Cell Sarcoma 	MCSL
Systemic Mastocytosis 	SM
MDS with Excess Blasts 	MDSEB
MDS with Isolated Del	5q 
MDS with Multilineage Dysplasia 	MDSMD
MDS with Ring Sideroblasts 	MDSRS
MDS with Single Lineage Dysplasia 	MDSSLD
MDS, Unclassifiable 	MDSU
Refractory Cytopenia of Childhood 	RCYC
Atypical Chronic Myeloid Leukemia, BCR-ABL1- 	ACML
Chronic Myelomonocytic Leukemia 	CMML
Juvenile Myelomonocytic Leukemia 	JMML
MDS/MPN with Ring Sideroblasts and Thrombocytosis 	MDSMPNRST
MDS/MPN, Unclassifiable 	MDSMPNU
Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement 	MLNFGFR1
Myeloid/Lymphoid Neoplasms with PCM1-JAK2 	MLNPCM1JAK2
Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement 	MLNPDGFRA
Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement 	MLNPDGFRB
Chronic Eosinophilic Leukemia, NOS 	CELNOS
Chronic Myelogenous Leukemia 	CML
Chronic Neutrophilic Leukemia 	CNL
Essential Thrombocythemia 	ET
Myeloproliferative Neoplasms, Unclassifiable 	MPNU
Polycythemia Vera 	PV
Primary Myelofibrosis 	PMF
Brenner Tumor, Benign 	BTBEOV
Brenner Tumor, Borderline 	BTBOV
Brenner Tumor, Malignant 	BTMOV
High-Grade Serous Ovarian Cancer 	HGSOC
Low-Grade Serous Ovarian Cancer 	LGSOC
Cellular Schwannoma 	CSCHW
Melanotic Schwannoma 	MSCHW
Complete Hydatidiform Mole 	CHM
Invasive Hydatidiform Mole 	IHM
Partial Hydatidiform Mole 	PHM
High-Grade Endometrial Stromal Sarcoma 	HGESS
Low-Grade Endometrial Stromal Sarcoma 	LGESS
Uterine Epithelioid Leiomyosarcoma 	UELMS
Uterine Leiomyoma 	ULM
Uterine Leiomyosarcoma 	ULMS
Uterine Myxoid Leiomyosarcoma 	UMLMS
Uterine Smooth Muscle Tumor of Uncertain Malignant Potential 	USTUMP
B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy 	BLLHYPER
B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy 	BLLHYPO
B-Lymphoblastic Leukemia/Lymphoma with iAMP21 	BLLIAMP21
B-Lymphoblastic Leukemia/Lymphoma with t	12;21
B-Lymphoblastic Leukemia/Lymphoma with t	1;19
B-Lymphoblastic Leukemia/Lymphoma with t	5;14
B-Lymphoblastic Leukemia/Lymphoma with t	9;22
B-Lymphoblastic Leukemia/Lymphoma with t	v;11q23.3;KMT2A Rearranged 
B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like 	BLLBCRABL1L
Lymphocyte-Depleted Classical Hodgkin Lymphoma 	LDCHL
Lymphocyte-Rich Classical Hodgkin Lymphoma 	LRCHL
Mixed Cellularity Classical Hodgkin Lymphoma 	MCCHL
Nodular Sclerosis Classical Hodgkin Lymphoma 	NSCHL
ALK Positive Large B-Cell Lymphoma 	ALKLBCL
Alpha Heavy-Chain Disease 	AHCD
B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma 	BCLU
B-Cell Prolymphocytic Leukemia 	BPLL
Burkitt Lymphoma 	BL
Burkitt-Like Lymphoma with 11q Aberration 	BLL11Q
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma 	CLLSLL
DLBCL Associated with Chronic Inflammation 	DLBCLCI
Diffuse Large B-Cell Lymphoma, NOS 	DLBCLNOS
EBV Positive DLBCL, NOS 	EBVDLBCLNOS
EBV Positive Mucocutaneous Ulcer 	EBVMCU
Extraosseous Plasmacytoma 	EP
Follicular Lymphoma 	FL
Gamma Heavy-Chain Disease 	GHCD
HHV8 Positive DLBCL, NOS 	HHV8DLBCL
Hairy Cell Leukemia 	HCL
High-Grade B-Cell Lymphoma, NOS 	HGBCL
High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements 	HGBCLMYCBCL2
Intravascular Large B-Cell Lymphoma 	IVBCL
Large B-Cell Lymphoma with IRF4 Rearrangement 	LBLIRF4
Lymphomatoid Granulomatosis 	LYG
Lymphoplasmacytic Lymphoma 	LPL
Mantle Cell Lymphoma 	MCL
Marginal Zone Lymphoma 	MZL
Monoclonal B-Cell Lymphocytosis 	MCBCL
Monoclonal Gammopathy of Undetermined Significance 	MGUS
Monoclonal Immunoglobulin Deposition Diseases 	MIDD
Mu Heavy-Chain Disease 	MHCD
Pediatric-Type Follicular Lymphoma 	PTFL
Plasma Cell Myeloma 	PCM
Plasmablastic Lymphoma 	PLBL
Primary Cutaneous DLBCL, Leg Type 	PCLBCLLT
Primary Cutaneous Follicle Center Lymphoma 	PCFCL
Primary DLBCL of the central nervous system 	PCNSL
Primary Effusion Lymphoma 	PEL
Primary Mediastinal 	Thymic Large B-Cell Lymphoma 
Solitary Plasmacytoma of Bone 	SPB
Splenic B-Cell Lymphoma/Leukemia, Unclassifiable 	SBLU
T-Cell/Histiocyte-Rich Large B-Cell Lymphoma 	THRLBCL
Adult T-Cell Leukemia/Lymphoma 	ATLL
Aggressive NK-Cell Leukemia 	ANKL
Anaplastic Large Cell Lymphoma 	ALCL
Angioimmunoblastic T-Cell Lymphoma 	AITL
Chronic Lymphoproliferative Disorder of NK Cells 	CLPDNK
Enteropathy-Associated T-Cell Lymphoma 	EATL
Extranodal NK-/T-Cell Lymphoma, Nasal Type 	ENKL
Follicular T-Cell Lymphoma 	FTCL
Hepatosplenic T-cell Lymphoma 	HSTCL
Hydroa Vacciniforme Like Lymphoproliferative Disorder 	HVLL
Indolent T-Cell Lymphoproliferative Disorder of the GI Tract 	ITLPDGI
Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma 	MEITL
Mycosis Fungoides 	MYCF
Nodal Peripheral T-Cell Lymphoma with TFH Phenotype 	NPTLTFH
Peripheral T-Cell lymphoma, NOS 	PTCL
Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma 	PCATCL
Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders 	PCLPD
Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder 	PCSMTPLD
Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma 	PCAECTCL
Primary Cutaneous Gamma Delta T-Cell Lymphoma 	PCGDTCL
Sezary Syndrome 	SS
Subcutaneous Panniculitis-Like T-Cell Lymphoma 	SPTCL
Systemic EBV Positive T-Cell Lymphoma of Childhood 	SEBVTLC
T-Cell Large Granular Lymphocytic Leukemia 	TLGL
T-Cell Prolymphocytic Leukemia 	TPLL
AML 	megakaryoblastic with t
AML with BCR-ABL1 	AMLBCRABL1
AML with Biallelic Mutations of CEBPA 	AMLCEBPA
AML with Mutated NPM1 	AMLNPM1
AML with Mutated RUNX1 	AMLRUNX1
AML with Variant RARA translocation 	AMLRARA
AML with inv	16
AML with inv	3
AML with t	6;9
AML with t	8;21
AML with t	9;11
APL with PML-RARA 	APLPMLRARA
AML with Maturation 	AM
AML with Minimal Differentiation 	AMLMD
AML without Maturation 	AWM
Acute Basophilic Leukemia 	ABL
Acute Megakaryoblastic Leukemia 	AMKL
Acute Monoblastic/Monocytic Leukemia 	AMOL
Acute Myelomonocytic Leukemia 	AMML
Acute Panmyelosis with Myelofibrosis 	APMF
Pure Erythroid Leukemia 	PERL
Myeloid Leukemia Associated with Down Syndrome 	MLADS
Transient Abnormal Myelopoiesis 	TAM
Therapy-Related Acute Myeloid Leukemia 	TAML
Therapy-Related Myelodysplastic Syndrome 	TMDS
Aggressive Systemic Mastocytosis 	ASM
Indolent Systemic Mastocytosis 	ISM
Mast Cell Leukemia 	SMMCL
Smoldering Systemic Mastocytosis 	SSM
Systemic Mastocytosis with an Associated Hematological Neoplasm 	SMAHN
MDS with excess blasts-1 	MDSEB1
MDS with excess blasts-2 	MDSEB2
MDS with Ring Sideroblasts and Multilineage Dysplasia 	MDSRSMD
MDS with Ring Sideroblasts and Single Lineage Dysplasia 	MDSRSSLD
Chronic Myelomonocytic Leukemia-0 	CMML0
Chronic Myelomonocytic Leukemia-1 	CMML1
Chronic Myelomonocytic Leukemia-2 	CMML2
Chronic Myeloid Leukemia, BCR-ABL1+ 	CMLBCRABL1
Essential Thrombocythemia Myelofibrosis 	ETMF
Polycythaemia Vera Myelofibrosis 	PVMF
Primary Myelofibrosis, Prefibrotic/Early Stage 	PMFPES
Primary Myelofibrosis,Overt Fibrotic Stage 	PMFOFS
Activated B-cell Type 	ABC
Germinal Center B-Cell Type 	GCB
Duodenal-Type Follicular Lymphoma 	DFL
In Situ Follicular Neoplasia 	ISFN
Waldenstrom Macroglobulinemia 	WM
In Situ Mantle Cell Neoplasia 	ISMCL
Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue 	MALT lymphoma 
Nodal Marginal Zone Lymphoma 	NMZL
Splenic Marginal Zone Lymphoma 	SMZL
IgA 	MGUSIGA
IgG 	MGUSIGG
IgM 	MGUSIGM
Amyloidosis 	MIDDA
Monoclonal Immunoglobulin Deposition Diseases, Other 	MIDDO
Hairy Cell Leukemia-Variant 	HCL-V
Splenic Diffuse Red Pulp Small B-Cell Lymphoma 	SDRPL
Anaplastic Large-Cell Lymphoma ALK Negative 	ALCLALKN
Anaplastic Large-Cell Lymphoma ALK Positive 	ALCLALKP
Breast Implant-Associated Anaplastic Large-Cell Lymphoma 	BIALCL
Lymphomatoid Papulosis 	LYP
Primary Cutaneous Anaplastic Large Cell Lymphoma 	PCALCL
Breast Carcinoma	BRCA
Non-Small Cell Lung Carcinoma	NSCL
Colon Cancer	Colon
Ovarian Carcinoma	OVCA
Endometrial Carcinoma	Endometrial
Pancreatic Carcinoma	PACA
Prostate Carcinoma	Prostate
Melanoma	Melanoma
Renal Cell Carcinoma	RCC
Cholangiocarcinoma	CHOL
Carcinoma of Unknown Primary	CAUnKP
Esophageal Carcinoma	ESCA
Head and Neck Carcinoma	HNCA
Neuroendocrine Carcinoma	NECA
Bladd Carcinoma	BLCA
Cervical Cancer	CECA
Small Cell Lung Carcinoma	SCLC
Giloblastoma	GB
Gastric Carcinoma	GSCA
Gastroesophageal Junction	GEJ
Lymphoma	LYM
Multiple Myeloma	MMEL
Peritoneal Cancer	PEC
Soft Tissue	ST
Vulvar Carcinoma	VUCA
Leukemia	Leukemia
Vaginal Melanoma	VAMEL
Duodenal Carcinoma	DDCA
Mesothelioma	MESO
Testicular Cancer	TESCA
Colorectal Carcinoma	COLCA
Angiosarcoma	ANGS
Leiomyosarcoma	LMS
Liposarcoma	LIPO
Liver	Liver
Thyroid Carcinoma	THCA
Urothelial Carcinoma	UTECA
Vaginal Carcinoma	VACA
Basal Cell Carcinoma	BCCA
Diffuse Large B-Cell Lymphoma	DLBCLYM
Gallbladder Carcinoma	GBLCA
Hepatoid Adenocarcinoma	Hepatoid AD
Rectosigmoid Carcninoma	Rectosigmoid
Urothelial Carcinoma	UTECA
Signet Ring Cell Carcinoma	SRCC
Chronic myeloid leukemia	CML
